,target,text
1339,4,"['how', 'do', 'you', 'feel', 'about', 'ur', 'hand', 'how', 'are', 'they', 'connect', 'to', 'ur', 'art', 'see', 'someon', 'came', 'up', 'to', 'you', 'and', 'ask', 'you']"
463,0,"['ugh', 'what', 'a', 'pain', 'it', 'has', 'happen', 'to', 'me', 'mani', 'time']"
179,0,"['soooo', 'song', 'of', 'my', 'night', 'beep', 'by', 'bobbi', 'v', 'i', 'miss', 'my', 'mommi', 'but', 'i', 'will', 'be', 'w', 'her', 'in', 'the', 'a', 'm', 'jimboy', 's', 'was', 'on', 'hit', 'tonight']"
1534,4,"['i', 'love', 'the', 'onu', 'admiss', 'bas', 'alway', 'good', 'for', 'a', 'laugh']"
1243,4,"['obvior', 'al', 'desayuno', 'oye', 'british', 'te', 'quedan', '3', 'mese', 'en', 'shile']"
1349,4,"['i', 'm', 'sooo', 'full', 'of', 'beau', 's', 'right', 'now', 'it', 'make', 'cubicl', 'life', 'a', 'bit', 'better']"
1286,4,"['hey', 'guy', 'how', 'it', 'hangin', 'not', 'much', 'news', 'but', 'one', 'of', 'my', 'bff', 's', 'just', 'crack', 'a', 'rib', 'kind', 'of', 'feel', 'sorri', '4', 'her', 'i', 'just', 'got', 'the', 'sickest', 'beat', 'of', 't', 'i']"
1446,4,"['go', 'to', 'skate', 'with', 'kodi', 'in', 'just', 'a', 'lil', 'bit', 'woo']"
563,0,"['realli', 'sick']"
1483,4,"['had', 'a', 'busi', 'day', 'today', 'i', 'm', 'tire', 'goodnight', 'tweeter']"
717,0,"['i', 'am', 'get', 'the', 'tweet', 'with', 'a', 'delay']"
1081,4,"['2', 'word', 'paranoid', 'jona']"
241,0,"['i', 'understand', 'i', 've', 'put', '70k', 'on', 'the', 'car', 'i', 've', 'had', 'for', 'just', '3', 'year']"
334,0,"['just', 'spent', 'a', 'frustrat', '3hrs', 'get', '3', '0', 'doe', 'anyon', 'know', 'how', 'to', 'get', 'my', 'app', 'back', 'in', 'line', 'they', 'are', 'scatter', 'across', '11', 'page']"
1595,4,"['ok', 'im', 'out', 'gonna', 'tri', 'to', 'be', 'product', 'we', 'll', 'see', 'quot', 'oh', 'look', 'it', 'the', 'sweet', 'life', 'of', 'zach', 'and', 'cas', 'quot', 'dean']"
992,4,"['time', 'to', 'enjoy', 'what', 's', 'left', 'of', 'the', 'weekend', 'after', 'a', 'day', 'in', 'work', 'homemad', 'pizza', 'for', 'tea', 'amp', 'cannot', 'wait', 'for', 'a', 'lie', 'in', 'tomorrow']"
14,0,"['my', 'brother', 'must', 'hate', 'me', 'he', 'didn', 't', 'answer', 'his', 'phone', 'and', 'he', 'didn', 't', 'call', 'me', 'back', 'either', 'that', 'or', 'he', 's', 'sleep', 'or', 'at', 'work']"
618,0,"['wonder', 'if', 'i', 'll', 'get', 'offer', 'chees', 'and', 'cracker', 'or', 'fresh', 'fruit', 'today', 'not', 'veri', 'like']"
846,4,"['mayb', 'ill', 'make', 'a', 'video', 'and', 'show', 'ya', 'what', 'this', 'beauti', 'place', 'is', 'all', 'about']"
1513,4,"['they', 'probabi', 'couldn', 't', 'resist', 'your', 'scottish', 'accent', 'lol']"
313,0,"['sorri', 'to', 'hear', 'about', 'your', 'friend']"
372,0,"['go', 'to', 'the', 'mall', 'to', 'look', 'for', 'a', 'dress', 'then', 'alexi', 's', 'sweet', '16', 'parti', 'later', 'no', 'cell']"
623,0,"['tell', 'me', 'pleas']"
978,4,"['finger', 'cross', 'and', 'all', 'the', 'best', 'to', 'you', 'like', 'million', 'i', 'd', 'love', 'to', 'be', 'in', 'your', 'shoe', 'mayb', 'just', 'for', 'the', 'launch', 'part', 'though']"
453,0,"['someon', 'left', 'a', 'babi', 'in', 'a', 'box', 'in', 'phoenix', 'yesterday', 'sick', 'fuck']"
415,0,"['is', 'off', 'to', 'go', 'and', 'watch', 'jaw', '2', 'in', 'my', 'room', 'so', 'no', 'internet', 'damn']"
55,0,"['just', 'woke', 'up', 'ive', 'been', 'asleep', 'sine', '4', 'hah', 'i', 'dont', 'feel', 'good', 'amp', 'the', 'peopl', 'i', 'use', 'to', 'steal', 'internet', 'from', 'move', 'so', 'text', 'instead', 'of', 'm']"
1322,4,"['i', 'had', 'this', 'song', 'on', 'my', 'mind', 'yesterday', 'too']"
337,0,['24']
255,0,"['i', 'hate', 'sunday']"
1435,4,"['it', 's', 'beauti', 'in', 'stockholm', 'now', 'the', 'sun', 'is', 'make', 'me', 'broown', 'me', 'like']"
542,0,"['so', 'guess', 'what', 'mom', 'is', 'miss', 'meet', 'end', 'at', '2pm', 'i', 'call', 'it', 'end', 'at', '5', 'someon', 'should', 'pay', 'me']"
1559,4,"['o', 'rite', 'awesom', 'lol', 'dat', 'a', 'gd', 'idea', 'lol', 'xo', 'sooooooo', 'we', 'put', 'the', 'www', 'djaari', 'com', 'fing', 'on', 'our', 'bebo', 'myspac', 'facebook', 'etc']"
1362,4,"['my', 'take', 'that', 'ticket', 'have', 'arriv', 'hurrah']"
1509,4,"['take', 'my', 'piano', 'apart', 'prior', 'to', 'tomorrow', 'tune', 'musiciangeekeri']"
671,0,"['watch', 'thank', 'god', 'you', 're', 'here', 'wish', 'my', 'head', 'would', 'get', 'better', 'pleas', 'get', 'better', 'i', 'hate', 'feel', 'like', 'this']"
1411,4,"['hahaha', 'you', 'may', 'tweet', 'me', 'hun', 'x']"
18,0,"['opt', 'for', 'a', 'corona', 'it', 'was', 'a', 'mistak', 'my', 'headach', 'just', 'got', 'a', 'million', 'time', 'wors']"
1482,4,"['good', 'stuff']"
583,0,"['say', 'it', 'isn', 't', 'so', 'realli', 'sad', 'now']"
845,4,"['and', 'after', 'all', 'you', 're', 'my', 'wonderwal']"
483,0,"['is', 'about', 'to', 'take', 'my', 'daddi', 'to', 'the', 'airport']"
939,4,"['trueblood', 'and', 'dexter', 'should', 'be', 'back', 'within', 'week', 'best', 'show', 'ok', 'mayb', 'not', 'ever', 'but', 'current', 'at', 'ani', 'rate']"
987,4,"['there', 'sure', 'seem', 'to', 'be', 'a', 'lot', 'of', 'cromarti', 'in', 'your', 'life', 'today', 'hope', 'the', 'weather', 'stay', 'fine', 'for', 'the', 'fenc', 'paint']"
821,4,"['thank', '4', 'includ', 'me', 'in', 'your', 'shoutout']"
283,0,"['home', 'from', 'the', 'awesom', 'eddi', 'vedder', 'show', 'wish', 'i', 'was', 'go', 'tomorrow', 'night', 'too']"
965,4,"['morn', 'i', 'have', 'messi', 'hair', 'and', 'it', 's', 'wet', 'time', 'to', 'get', 'dress', 'scienc', 'histori', 'r', 'e', 'and', 'music', 'exam', 'today']"
848,4,"['help', 'i', 'm', 'get', 'addict', 'to', 'twitter', 'work', 'at', 'twit', 'at', 'the', 'same', 'time']"
300,0,"['sorrrri', 'poohh', 'beaaarrr']"
7,0,"['i', 'know']"
1238,4,"['i', 'love', 'my', 'life', 'but', 'i', 'm', 'tire', 'so', 'i', 'm', 'go', 'to', 'bed', 'goodnight', 'twitter']"
532,0,"['miss', 'work', 'to', 'take', 'care', 'of', 'a', 'sick', 'kiddo']"
1334,4,"['noooo', 'd', 'i', 'mergesort', 'by', 'partit', 'them', 'but', 'when', 'i', 'got', 'bore', 'with', 'it', 'i', 'd', 'move', 'to', 'a', 'differ', 'shelf', 'and', 'heapsort']"
656,0,"['lanc', 'i', 'miss', 'you', 'shay', 'is', 'get', 'pick', 'on', 'too', 'much', 'and', 'cri', 'about', 'it', 'come', 'home']"
1374,4,"['i', 'can', 'smell', 'the', 'sunday', 'roast', 'be', 'cook', 'yum']"
215,0,"['just', 'finish', 'the', 'first', 'day', 'of', 'train', 'with', 'sir', 'manci', 'learn', 'a', 'lot', 'today', 'and', 'the', 'train', 'was', 'great', 'back', 'to', 'work', 'tomorrow']"
1502,4,"['seem', 'i', 'm', 'not', 'onli', 'go', 'to', 'ocean', 'termin', 'today', 'with', 'my', 'sis', 'but', 'also', 'on', 'a', 'picnic', 'with', 'my', 'aunt', 'uncl', 'and', 'their', 'new', 'puppi']"
341,0,"['i', 'guess', 'mikeyway', 'mad', 'at', 'me', 'becaus', 'my', 'messag', 'to', 'him', 'he', 'made', 'updat', 'a', 'littl', 'i', 'felt', 'guilti', 'myself', 'about', 'hope', 'im', 'wrong', 'about', 'my', 'thought']"
527,0,"['loooolll', 'i', 'was', 'wonder', 'whooo', 'the', 'hell', 'was', 'that', 'i', 'call', 'back', 'at', '6', 'am', 'but', 'it', 'was', 'busyyyy', 'what', 's', 'up', 'my', 'love']"
350,0,"['love', 'the', 'new', 'tat', 'but', 'hate', 'no', 'pool', 'for', 'a', 'week']"
0,0,"['oh', 'no', 'where', 'did', 'u', 'order', 'from', 'that', 's', 'horribl']"
1387,4,"['hmmm', 'but', 'still', 'better', 'to', 'have', 'qualiti']"
548,0,"['school', 'over', 'final', 'clair', 'left', 'to', 'go', 'over', 'sea', 'today', 'she', 'll', 'be', 'gone', 'for', 'like', '6week', 'ill', 'miss', 'her', 'sooo', 'much', 'tear']"
1486,4,"['and', 'the', 'day', 'has', 'begun']"
200,0,"['i', 'miss', 'my', 'friend', 'i', 'miss', 'my', 'famili', 'i', 'miss', 'my', 'old', 'town', 'i', 'wanna', 'back', 'home', 'i', 'dont', 'wanna', 'be', 'here']"
839,4,"['i', 'person', 'had', 'my', 'fill', 'of', 'the', 'sister', 'mari', 'margaret', 's', 'someth', 'or', 'other', '12', 'yrs', 'of', 'cathol', 'school', 'so', 'done']"
168,0,"['eh', 'up', 'you', 'we', 'are', 'talk', 'saab', '9', '5', 'se', 'estat', 'too', 'had', 'to', 'get', 'a', '2', '0t', 'as', 'insur', 'wouldn', 't', 'touch', 'poppet', 'on', 'a', '2', '3t']"
1179,4,"['lol', 'i', 'like', 'challeng', 'the', 'more', 'imposs', 'the', 'more', 'i', 'want', 'to', 'tri']"
1024,4,"['love', 'spain', 'it', 's', 'so', 'much', 'fun']"
539,0,"['just', 'had', 'a', 'shower', 'now', 'watchin', 'sum', 'crap', 'on', 'tv']"
1250,4,"['oh', 'no', 'best', 'stick', 'to', 'flipflop', 'tomo', 'i', 'will', 'love', 'the', 'dvds', 'guarente', 'me', 'and', 'gab', 'have', 'schedul', 'next', 'sat', 'night', 'in', 'for', 'a', 'festx']"
1280,4,"['now', 'i', 'am']"
101,0,"['oh', 'no', 'i', 'thought', 'both', 'would', 'be', 'cool', 'guess', 'i', 'm', 'not', 'cool', 'w', 'the', '4yr', 'old', 'lol']"
366,0,"['i', 'don', 't', 'feed', 'into', 'bullshit', 'sorri', 'awwwwww', 'what', 'a', 'cock', 'succer']"
541,0,"['i', 'have', 'a', 'feel', 'my', 'reduct', 'in', 'follow', 'is', 'becaus', 'twitter', 'is', 'start', 'to', 'delet', 'spam', 'account', 'still', 'make', 'me', 'sad', 'though']"
1202,4,"['i', 've', 'been', 'lay', 'awak', 'in', 'the', 'bed', 'for', 'a', 'half', 'hour', 'mayb', 'it', 's', 'time', 'to', 'get', 'out', 'off', 'bed']"
1104,4,"['ahaha', 'muy', 'bueno', 'the', 'lion', 'sleep', 'tonight']"
379,0,"['still', 'hav', 'my', 'cough', 'now', 'it', 'mite', 'be', 'bronchiti', 'bec', 'everytim', 'i', 'cough', 'my', 'chest', 'hurt', 'so', 'dont', 'lik', 'doctor']"
1538,4,"['i', 'need', 'a', 'nap', 'nick', 'has', 'anoth', 'round', 'of', 'hang', 'out', 'tonight', 'i', 'need', 'to', 'be', 'prepar']"
787,0,"['it', 'is', 'a', 'beauti', 'day', 'here', 'in', 'e', 'lanisng', 'to', 'bad', 'i', 'am', 'stuck', 'insid', 'studi']"
1563,4,"['in', 'n', 'out', 'is', 'heaven', 'sent']"
1095,4,"['for', 'my', 'veri', 'short', 'followfriday', 'some', 'new', 'tweep', 'that', 'i', 'have', 'found', 'veri', 'interest', 'sdartjourn', 'dwelleph', 'ranchovalencia']"
1153,4,"['i', 'still', 'have', 'the', 'blackjack']"
628,0,"['mian', 'jaefoo', 'u', 'knw', 'i', 'will', 'if', 'i', 'can', 'but', 'cant', '2nite']"
847,4,"['the', 'red', 'sox', 'got', 'a', 'home', 'run']"
56,0,[]
1588,4,"['bad', 'memori', 'oh', 'well', 'ingat', 'as', 'for', 'me', 'i', 'm', 'off', 'to', 'church', 'ps', 'bring', 'a', 'journal', 'and', 'write', 'ur', 'thought']"
471,0,"['whi', 'are', 'my', 'follow', 'fluc', 'tu', 'ting', 'should', 'my', 'tweet', 'bring', 'more', 'bling']"
1062,4,"['g', 'day', 'mate']"
593,0,"['the', 'book', 'look', 'realli', 'cool', 'and', 'i', 'realli', 'realli', 'miss', 'the', 'show']"
1012,4,"['yup', 'am', 'now', 'complic', 'were', 'had', 'so', 'am', 'home', 'mend', 'now', 'good', 'to', 'be', 'out', 'of', 'hospit', 'miss', 'the', 'endless', 'cup', 'of', 'tea', 'tho']"
503,0,"['layer', 'tech', 'epic', 'fail']"
1471,4,"['today', 's', 'great', 'okay', 'er', 'than', 'yesterday', 'i', 'hope', 'it', 'will', 'soon', 'be', 'better', 'thank', 'you', 'for', 'the', 'peopl', 'who', 'support', 'me', 'i', 'love', 'you', 'all', 'you', '2', 'r']"
336,0,"['he', 'was', 'so', 'sad', 'tri', 'to', 'hold', 'back', 'tear', 'at', 'one', 'point']"
588,0,"['here', 'at', 'sixx', 'w', 'the', 'ex', 'lol', 'miss', 'my', 'boo']"
569,0,"['to', 'trist']"
231,0,"['good', 'morn', 'i', 'woke', 'up', 'to', 'my', 'boo', 'leavin', 'me', 'wat', 'im', 'i', 'goin', 'to', 'do', 'for', 'like', '4', 'day', 'im', 'miss', 'you', 'alreadi']"
1344,4,"['i', 'know', 'we', 'need', 'it', 'but', 'i', 'm', 'not', 'a', 'fan', 'of', 'daili', 'rain', 'humid', 'amp', 'i', 'm', 'a', 'nativ', 'i', 'll', 'enjoy', 'dri', 'while', 'it', 'last']"
1255,4,"['right', 'i', 'am', 'off', 'to', 'the', 'hospit', 'seeya', 'later']"
966,4,"['souljaboytellem', 'mayb', 'coz', 'of', 'hight', 'hill', 'tc']"
654,0,"['the', 'place', 'is', 'cover', 'with', 'littl', 'white', 'and', 'green', 'thread', 'the', 'dog', 'total', 'destroy', 'her', 'rope', 'tug', 'toy', 'i', 'wish', 'the', 'vaccuum', 'wasn', 't', 'broken']"
198,0,"['no', 'no', 'more', 'unless', 'i', 'win', 'irvin', 'tix', 'or', 'break', 'down', 'and', 'go', 'to', 'anoth', 'concert']"
1020,4,"['if', 'you', 'find', 'ani', 'let', 'me', 'know', 'all', 'i', 'ever', 'find', 'is', 'manga']"
235,0,"['never', 'went', '2', 'sleep', 'and', 'i', 'got', 'class', 'at', '2', 'i', 'need', '2', 'do', 'dis', 'homework', 'errrr']"
1136,4,"['metro', 'station', 'are', 'in', 'philippin', 'fli', 'me', 'home']"
1144,4,"['was', 'up', 'to', 'earli', 'this', 'morn', 'went', 'to', 'the', 'tip', 'and', 'everyth', 'feel', 'tire', 'now', 'feel', 'a', 'relax', 'trip', 'to', 'the', 'pub', 'come', 'on']"
812,4,"['off', 'to', 'the', 'garter', 'ceremoni', 'at', 'windsor', 'castl']"
402,0,"['onli', 'problem', 'is', 'that', 'tiff', 'file', 'can', 't', 'be', 'larger', 'than', '4gb']"
1388,4,"['britney', 'ticket', 'have', 'arriv']"
1266,4,"['and', 'i', 'do', 'love', 'mar', 'planet', 'love', 'them', 'befor', 'they', 'were', 'out', 'in', 'germani', 'british', 'shop', 'are', 'the', 'best']"
1155,4,"['good', 'morn', 'feel', 'a', 'littl', 'snarki', 'this', 'morn', 'how', 'are', 'you', 'you', 'you', 'and', 'you']"
1488,4,"['the', 'better', 'accent', 'is', 'def', 'scottish']"
397,0,"['aww', '5me', 'i', 'miss', 'you', 'too', 'i', 'wish', 'i', 'were', 'there', 'have', 'you', 'had', 'ani', 'calpi', 'yet', 'drink', 'some', 'for', 'me']"
345,0,"['whi', 'arent', 'you', 'guy', 'come', 'to', 'toronto', 'warp', 'tour', 'date', 'same', 'with', 'atl', 'whatta', 'dissapoint']"
841,4,"['go', 'to', 'my', 'aunt', 'yay', 'be', 'warn', 'she', 'is', 'a', 'facebook', 'we', 'will', 'have', 'fun', 'though']"
663,0,"['ahh', 'i', 'can', 'beat', 'that', 'support', 'ticket', 'to', 'twitter', 'jan', '26', 'confirm', 'not', 'fix', 'mar', '12', 'they', 'mark', 'it', 'fix', 'no', 'chang', 'on', 'problem']"
1361,4,"['you', 'get', 'a', 'concept', 'here']"
1294,4,"['awww', 'well', 'sleep', 'well', 'when', 'you', 'fall', 'asleep']"
149,0,"['i', 'think', 'i', 'd', 'enjoy', 'it', 'more', 'if', 'it', 'wasn', 't', 'so', 'smoki', 'but', 'we', 'll', 'probabl', 'go']"
433,0,"['sorri', 'boo', 'who', 's', 'wole', 'bucknor']"
1236,4,"['eat', 'pijahat', 'with', 'aileentanaga', 'boya', 'jenni', 'and', 'erin']"
631,0,"['speak', 'of', 'which', 'ha', 'no', 'some', 'fool', 'ate', 'the', 'curri', 'so', 'it', 'porridg', 'amp', 'toast', 'for', 'me']"
758,0,"['awwww', 'what', 's', 'wrong', 'with', 'ur', 'doggi']"
1123,4,"['yeah', 'it', 's', 'not', 'an', 'easi', 'time', 'out', 'there', 'now', 'thank', 'there', 'are', 'good', 'ppl', 'like', 'pinkslip', 'and', 'pinkgift', 'to', 'help']"
1437,4,"['go', 'to', 'the', 'grove', 'park', 'inn', 'for', 'lunch']"
818,4,"['good', 'talk', 'with', 'mom', 'now', 'off', 'to', 'spend', 'time', 'with', 'some', 'friend']"
374,0,"['cat', 'nap', 'didn', 't', 'help']"
1092,4,"['fuddruck', 'with', 'gcmilatzo']"
664,0,"['5', 'week', 'is', 'a', 'long', 'time']"
489,0,"['feck', 'i', 'heard']"
376,0,"['off', 'today', 'and', 'it', 's', 'suppos', 'to', 'rain', 'wtf', 'just', 'my', 'luck']"
973,4,"['good', 'morn', 'how', 'are', 'you', 'thank', 'you', 'for', 'the', 'followfriday']"
214,0,"['aw', 'hope', 'you', 'feel', 'better', 'soon']"
1589,4,"['listen', 'to', 'i', 'm', 'free', 'by', 'kenni', 'loggin', 'i', 'lt', '3', 'the', '80', 's']"
882,4,"['i', 'know', 'sleep', 'is', 'so', 'over', 'rate', 'who', 'need', 'it', 'right']"
798,0,"['whi', 'arent', 'you', 'repli', 'on', 'msn']"
712,0,"['dont', 'think', 'it', 's', 'broken', 'then', 'so', 'that', 'good', 'put', 'ice', 'frozen', 'pea', 'on', 'it', 'lol', 'it', 'will', 'alway', 'play', 'up', 'now', 'got', 'a', 'weak', 'in', 'it']"
1013,4,"['excit', 'that', 'wristcutt', 'is', 'final', 'on', 'on', 'demand']"
856,4,"['no', 'one', 'on', 'twitter', 'has', 'goodsex', 'you', 'can', 'all', 'pretend']"
674,0,"['i', 'read', 'the', 'first', 'book', 'and', 'i', 'could', 'feel', 'the', 'literari', 'aid', 'engulf', 'my', 'bodi']"
836,4,"['off', 'to', 'explor', 'buffalo', 'by', 'foot']"
1034,4,"['i', 'll', 'be', 'tweet', '4u', 'dure', 'the', '48hr', 'tweetfest', 'to', 'rais', 'money', '4', 'school', 'in', 'kenya', 'ethiopia', '17', '19jun', 'ghni', 'via', 'jjnextgentv']"
333,0,"['what', 'happen']"
46,0,"['need', 'a', 'new', 'home']"
1074,4,"['sleep', 'final']"
1517,4,"['go', 'to', 'simpl', 'simon']"
361,0,"['it', 'got', 'move', 'to', 'monday', 'sighsigh']"
1508,4,"['laker', 'you', 'deserv', 'tp', 'celebr', 'all', 'year']"
644,0,"['i', 'am', 'lost', 'pleas', 'help', 'me', 'find', 'a', 'good', 'home']"
915,4,"['back', 'from', 'the', 'blood', 'test', 'now', 'i', 'get', '2', 'eat']"
1443,4,"['is', 'listen', 'to', 'music']"
1093,4,"['sweeet', 'now', 'that', 's', 'the', 'kinda', 'news', 'i', 'wanna', 'hear', 'haha']"
533,0,"['still', 'at', 'work']"
1591,4,"['vote', 'for', 'mcfli', 'www', 'musiqton', 'com', 'they', 'are', 'catch', 'up']"
1121,4,"['we', 'll', 'be', 'film', 'tweet', 'blog', 'so', 'you', 'll', 'be', 'abl', 'to', 'see', 'all', 'the', 'doggi', 'guest']"
478,0,"['yeah', 'both', 'were', 'realli', 'hard', 'i', 'thought']"
1010,4,"['fine', 'there', 'are', 'so', 'mani', 'movi', '2', 'anticip', 'especi', 'quot', 'harri', 'potter', '6', 'quot', 'caus', 'that', 's', 'shown', 'on', 'my', 'birthmonth', 'wooot']"
1051,4,"['twitter', 'often', 'doe', 'weird', 'stuff']"
1047,4,"['love', 'the', 'twitter', 'handl', 'is', 'this', 'intend', 'to', 'provid', 'support', 'for', 'all', 'bing', 'addict', 'i', 'feel', 'like', 'bing', 'on', 'bing']"
190,0,"['whi', 'isnt', 'anyon', 'tweet']"
487,0,"['i', 'am', 'on', 'sofa', 'with', 'a', 'migrain']"
467,0,"['what', 'do', 'you', 'do', 'when', 'you', 'like', 'a', 'girl', 'but', 'are', 'afrad', 'to', 'ask', 'them', 'out', 'i', 've', 'never', 'had', 'a', 'girlfriend', 'yet']"
776,0,"['i', 'need', 'you']"
1503,4,"['haha', 'aww', 'it', 'was', 'awesom', 'either', 'way', 'so', 'i', 'have', 'the', 'plane', 'ticket', 'for', 'new', 'york', 'and', 'it', 's', 'for', 'a', 'whole', 'month']"
1332,4,"['well', 'then', 'go', 'for', 'it']"
946,4,"['go', 'to', 'the', 'car', 'show', 'today', 'cant', 'wait']"
49,0,"['yeah', 'i', 'have', 'these', 'extra', 'strength', 'thing', 'my', 'mum', 'take', 'for', 'her', 'leg', 'and', 'no', 'chemist', 'will', 'be', 'open', 'when', 'i', 'go', 'god']"
1154,4,"['now', 'that', 'i', 'now', 'you', 're', 'an', 'owner', 'i', 'll', 'tri', 'it', 'out', 'there', 's', 'one', 'here', 'in', 'rosevill', 'ca']"
